Barcode	Read_Count	Percentage_of_Reads	Taxon_ID	Taxon_Path	Taxon_Rank	Species	Type of pest	Pest Name	UK	Likelihood (unmitigated)	Impact (unmitigated)	Risk Rating (unmitigated)	Regulation	Likelihood (mitigated)	Impact (mitigated)	Risk Rating (mitigated)	Scenario for Risk Register	Regulated	Natural Spread
01	5	100.00	79252	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Erysiphales,Erysiphaceae,Podosphaera,Podosphaera aphanis	species	Podosphaera aphanis	Fungus	Podosphaera aphanis	Present (Widespread)									No	No
02	6	100.00	79252	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Erysiphales,Erysiphaceae,Podosphaera,Podosphaera aphanis	species	Podosphaera aphanis	Fungus	Podosphaera aphanis	Present (Widespread)									No	No
03	33166	91.71	79252	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Erysiphales,Erysiphaceae,Podosphaera,Podosphaera aphanis	species	Podosphaera aphanis	Fungus	Podosphaera aphanis	Present (Widespread)									No	No
03	2096	5.80	162140	root,cellular organisms,Eukaryota,Sar,Stramenopiles,Oomycota,Peronosporales,Peronosporaceae,Plasmopara,Plasmopara obducens	species	Plasmopara obducens	Oomycete	Plasmopara obducens	Present (Unknown Distribution)	3.0	4.0	12.0		3.0	4.0	12.0	Pest spreads to maximum extent	No	No
03	112	0.31	29001	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Brassicicola,Alternaria brassicicola	species	Alternaria brassicicola													
03	92	0.25	5599	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Alternaria,Alternaria alternata complex,Alternaria alternata	species	Alternaria alternata													
03	83	0.23	34373	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Erysiphales,Erysiphaceae,Blumeria,Blumeria graminis	species	Blumeria graminis													
03	73	0.20	48097	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Panax,Alternaria panax	species	Alternaria panax	Fungus	Alternaria panax	Absent	3.0	4.0	24.0		3.0	4.0	24.0	Pest is introduced	No	No
03	71	0.20	52586	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe,Erysiphe necator	species	Erysiphe necator													
03	54	0.15	160389	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Alternaria,Alternaria longipes	species	Alternaria longipes													
