Type of pest,Pest Name,UK,Likelihood (unmitigated),Impact (unmitigated),Risk Rating (unmitigated),Regulation,Likelihood (mitigated),Impact (mitigated),Risk Rating (mitigated),Scenario for Risk Register,Species,Regulated,Natural Spread
Bacterium,Candidatus Liberibacter africanus,Absent,,,1.0,Regulated quarantine pest (NI only),,,1.0,Pest is introduced,Candidatus Liberibacter,Yes,No
Bacterium,Candidatus Liberibacter americanus,Absent,,,1.0,QP (NI only). Prohibition of key pathway.,,,1.0,Pest is introduced,Candidatus Liberibacter,Yes,No
Bacterium,Candidatus Liberibacter asiaticus,Absent,0.0,0.0,1.0,Regulated quarantine pest (NI),0.0,0.0,1.0,Pest is introduced,Candidatus Liberibacter,Yes,No
Bacterium,Candidatus Phlomobacter fragariae,Unknown,,,,,,,,,Candidatus Phlomobacter,No,No
Phytoplasma,Candidatus Phytoplasma americanum,Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Candidatus Phytoplasma,Yes,No
Phytoplasma,Candidatus Phytoplasma asteris in carrot,Present (Limited),3.0,2.0,24.0,Regulated non quarantine pest ,3.0,2.0,24.0,Pest spreads to maximum extent,Candidatus Phytoplasma,No,No
Phytoplasma,Candidatus Phytoplasma asteris in potato,Present (Limited),4.0,3.0,60.0,Regulated non quarantine pest,2.0,3.0,30.0,Pest is introduced,Candidatus Phytoplasma,No,No
Phytoplasma,Candidatus Phytoplasma aurantifolia,Absent,4.0,3.0,60.0,Regulated quarantine pest (as witches' broom disease of lime phytoplasma in NI),2.0,3.0,30.0,Pest is introduced,Candidatus Phytoplasma,Yes,No
Phytoplasma,Candidatus Phytoplasma australiense,Absent,3.0,4.0,60.0,Regulated quarantine pest,2.0,4.0,40.0,Pest is introduced with vector or finds vector,Candidatus Phytoplasma,Yes,No
Phytoplasma,Candidatus Phytoplasma cocosnigeriae,Absent,0.0,0.0,1.0,,0.0,0.0,1.0,Pest is introduced,Candidatus Phytoplasma,No,No
Phytoplasma,Candidatus Phytoplasma fragariae,Present (Limited),2.0,2.0,12.0,Regulated non quarantine pest,2.0,2.0,12.0,Pest spreads to maximum extent,Candidatus Phytoplasma,No,No
,Candidatus Phytoplasma fragariae - related strains of Solanum tuberosum L. and other tuber forming Solanum spp.,Absent,,,,,,,,Pest is introduced,Candidatus Phytoplasma,Yes,No
Phytoplasma,Candidatus Phytoplasma fraxini,Absent,3.0,4.0,60.0,Temporary prohibiton pending PRA on some hosts. Regulated quarantine pest (Northern Ireland). Provisional quarantine pest (Great Britain).,2.0,4.0,40.0,Pest is introduced,Candidatus Phytoplasma,Yes,No
Phytoplasma,Candidatus Phytoplasma hispanicum (Mexican periwinkle virescence phytoplasma),Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Candidatus Phytoplasma,Yes,No
Phytoplasma,Candidatus Phytoplasma mali,Absent,4.0,4.0,64.0,Regulated quarantine pest (Great Britain). Northern Ireland: Regulated non quarantine pest,3.0,4.0,48.0,Pest is introduced,Candidatus Phytoplasma,Yes,No
Phytoplasma,Candidatus Phytoplasma noviguineense,Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Candidatus Phytoplasma,Yes,No
Phytoplasma,Candidatus Phytoplasma palmae,Absent,1.0,2.0,4.0,Regulated quarantine pest (Northern Ireland),1.0,2.0,4.0,Pest is introduced with vector or finds vector,Candidatus Phytoplasma,Yes,No
Phytoplasma,Candidatus Phytoplasma phoenicium,Absent,2.0,4.0,8.0,Regulated quarantine pest (GB &amp; NI),2.0,4.0,8.0,Pest is introduced,Candidatus Phytoplasma,Yes,No
Phytoplasma,Candidatus Phytoplasma pini,Absent,4.0,1.0,20.0,,4.0,1.0,20.0,Pest is introduced,Candidatus Phytoplasma,No,No
Phytoplasma,Candidatus Phytoplasma pruni,Absent,3.0,3.0,27.0,Regulated quarantine pest (Great Britain); Northern Ireland: RNQP,2.0,3.0,18.0,Pest is introduced,Candidatus Phytoplasma,Yes,No
Phytoplasma,Candidatus Phytoplasma prunorum,Present (Limited),4.0,5.0,60.0,Regulated quarantine pest (Great Britain); Northern Ireland: Regulated non quarantine pest,2.0,5.0,30.0,Pest spreads to maximum extent,Candidatus Phytoplasma,Yes,No
Phytoplasma,Candidatus Phytoplasma pyri on dessert pears,Present (Limited),2.0,3.0,12.0,Regulated non quarantine pest,2.0,3.0,12.0,Pest spreads to maximum extent,Candidatus Phytoplasma,No,No
Phytoplasma,Candidatus Phytoplasma pyri on perry pears,Present (Limited),2.0,5.0,20.0,Regulated non quarantine pest,2.0,5.0,20.0,Pest spreads to maximum extent,Candidatus Phytoplasma,No,No
Phytoplasma,Candidatus Phytoplasma rubi,Present (Limited),,,,,,,,,Candidatus Phytoplasma,No,No
Phytoplasma,Candidatus Phytoplasma solani,Absent,3.0,4.0,60.0,Regulated quarantine pest (Great Britain) Northern Ireland: Regulated non quarantine pest,3.0,4.0,60.0,Pest is introduced,Candidatus Phytoplasma,Yes,Yes
Phytoplasma,Candidatus Phytoplasma ulmi,Absent,4.0,3.0,36.0,Regulated quarantine pest (Great Britain) Regulated pest free area pest (NI),4.0,3.0,36.0,Pest is introduced,Candidatus Phytoplasma,Yes,No
Phytoplasma,Candidatus Phytoplasma vitis,Absent,4.0,5.0,40.0,Regulated quarantine pest,2.0,5.0,20.0,Pest is introduced,Candidatus Phytoplasma,Yes,No
Phytoplasma,Candidatus Phytoplasma ziziphi (Jujube witches broom phytoplasma),Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Candidatus Phytoplasma,Yes,No
Bacterium,Acidovorax citrulli,Absent,2.0,2.0,12.0,,2.0,2.0,12.0,Pest is introduced,Acidovorax citrulli,No,No
Fungus,Aculeastrum americanum (synonym Pucciniastrum americanum),,3.0,4.0,48.0,,3.0,4.0,48.0,Pest is introduced,Aculeastrum americanum,No,No
Other,Acute Oak Decline,Present (Limited),3.0,5.0,75.0,,3.0,5.0,75.0,Pest spreads to maximum extent,Acute Oak,No,No
Bacterium,Agrobacterium spp.,Present (Widespread),,,,,,,,,Agrobacterium spp.,No,No
Bacterium,Agrobacterium tumefaciens,Present (Widespread),,,,,,,,,Agrobacterium tumefaciens,No,No
Virus or Viroid,Alphacarmovirus calibrachoae,Present (Unknown Distribution),1.0,1.0,1.0,,1.0,1.0,1.0,Pest spreads to maximum extent,Alphacarmovirus calibrachoae,No,No
Virus or Viroid,Alstroemeria necrotic streak virus ,Absent,4.0,2.0,24.0,,3.0,2.0,18.0,Pest is introduced,Alstroemeria necrotic,No,No
Fungus,Alternaria gaisen,Absent,3.0,3.0,9.0,,3.0,3.0,9.0,Pest is introduced,Alternaria gaisen,No,No
Fungus,Alternaria linicola,Present (Widespread),,,,,,,,,Alternaria linicola,No,No
Fungus,Alternaria mali,Absent,3.0,2.0,24.0,Provisional quarantine pest (Great Britain) ,1.0,2.0,8.0,Pest is introduced,Alternaria mali,No,No
Fungus,Alternaria panax,Absent,3.0,4.0,24.0,,3.0,4.0,24.0,Pest is introduced,Alternaria panax,No,No
Fungus,Alternaria sp. (leaf spot of Impatiens),Absent,3.0,1.0,6.0,,3.0,1.0,6.0,Pest is introduced,Alternaria sp.,No,No
Virus or Viroid,American plum line pattern virus,Absent,4.0,2.0,16.0,Regulated quarantine pest,2.0,2.0,8.0,Pest is introduced,American plum,Yes,No
Virus or Viroid,Andean potato latent virus,Absent,3.0,3.0,45.0,Regulated quarantine pest,1.0,3.0,15.0,Pest is introduced,Andean potato,Yes,No
Virus or Viroid,Andean potato mild mosaic virus,Absent,3.0,3.0,45.0,Regulated quarantine pest (in NI as potato viruses; viroids and phytoplasmas),1.0,3.0,15.0,Pest is introduced,Andean potato,Yes,No
Virus or Viroid,Andean potato mottle virus,Absent,3.0,3.0,45.0,Regulated quarantine pest,1.0,3.0,15.0,Pest is introduced,Andean potato,Yes,No
Fungus,Anisogramma anomala,Absent,3.0,5.0,45.0,Regulated quarantine pest,2.0,5.0,30.0,Pest is introduced,Anisogramma anomala,Yes,No
Fungus,Apiosporina morbosa,Absent,3.0,3.0,18.0,Regulated quarantine pest,2.0,3.0,12.0,Pest is introduced,Apiosporina morbosa,Yes,No
,Apple bumpy fruit of Ben Davis disease,Unknown,,,,,,,,,Apple bumpy,No,No
Virus or Viroid,Apple chat fruit agent,Present (Limited),,,,,,,,,Apple chat,No,No
Virus or Viroid,Apple chlorotic leaf spot virus,Present (Unknown Distribution),,,,,,,,,Apple chlorotic,No,No
Virus or Viroid,Apple dimple fruit viroid,Absent,3.0,2.0,24.0,Provisional quarantine pest (Great Britain). NI: Regulated non quarantine pest,3.0,2.0,24.0,Pest is introduced,Apple dimple,No,No
Virus or Viroid,Apple flat limb agent,Present (Unknown Distribution),,,,,,,,,Apple flat,No,No
Virus or Viroid,Apple fruit crinkle viroid,Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Apple fruit,Yes,No
Virus or Viroid,Apple green crinkle agent,Present (Unknown Distribution),,,,,,,,,Apple green,No,No
Virus or Viroid,Apple leaf pucker agent,Present (Unknown Distribution),,,,,,,,,Apple leaf,No,No
Virus or Viroid,Apple mosaic virus,Present (Widespread),,,,,,,,,Apple mosaic,No,No
Virus or Viroid,Apple necrotic mosaic virus,Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Apple necrotic,Yes,No
Virus or Viroid,Apple rough skin agent,Absent,3.0,2.0,24.0,Regulated non quarantine pest,3.0,2.0,24.0,Pest is introduced,Apple rough,No,No
Virus or Viroid,Apple rubbery wood disease,Present (Limited),,,,,,,,,Apple rubbery,No,No
Virus or Viroid,Apple russet wart disease,Unknown,,,,,,,,,Apple russet,No,No
Virus or Viroid,Apple scar skin viroid,Present (Unknown Distribution),,,,,,,,,Apple scar,No,No
Virus or Viroid,Apple star crack virus,Present (Unknown Distribution),,,,,,,,,Apple star,No,No
Virus or Viroid,Apple stem grooving virus,Present (Unknown Distribution),,,,,,,,,Apple stem,No,No
Virus or Viroid,Apple stem pitting virus,Present (Widespread),,,,,,,,,Apple stem,No,No
Virus or Viroid,Apricot latent virus,Absent,3.0,1.0,3.0,RNQP (NI) - but infections are asymptomatic,3.0,1.0,3.0,Pest is introduced,Apricot latent,No,No
Oomycete,Aquilegia downy mildew,Present (Widespread),5.0,4.0,20.0,,5.0,4.0,20.0,Pest spreads to maximum extent,Aquilegia downy,No,No
Virus or Viroid,Arabis mosaic virus,Present (Limited),3.0,3.0,45.0,Regulated non quarantine pest,2.0,3.0,30.0,Pest spreads to maximum extent,Arabis mosaic,No,No
Other,Arion vulgaris ,Present (Limited),4.0,3.0,60.0,,4.0,3.0,60.0,Pest spreads to maximum extent,Arion vulgaris,No,No
Fungus,Armillaria mellea,Present (Widespread),,,,,,,,,Armillaria mellea,No,No
Virus or Viroid,Arracacha virus B; oca strain,Absent,3.0,2.0,30.0,Regulated quarantine pest (Great Britain),1.0,2.0,10.0,Pest is introduced,Arracacha virus,Yes,No
Fungus,Atropellis apiculata,Absent,1.0,2.0,2.0,Regulated quarantine pest,1.0,1.0,2.0,Pest is introduced,Atropellis apiculata,Yes,No
Fungus,Atropellis pinicola,Absent,2.0,3.0,30.0,Regulated quarantine pest,1.0,3.0,15.0,Pest is introduced,Atropellis pinicola,Yes,No
Fungus,Atropellis piniphila,Absent,4.0,4.0,80.0,Regulated quarantine pest,1.0,4.0,20.0,Pest is introduced,Atropellis piniphila,Yes,No
Fungus,Atropellis tingens,Absent,3.0,2.0,30.0,Regulated quarantine pest,1.0,2.0,10.0,Pest is introduced,Atropellis tingens,Yes,No
Virus or Viroid,Badnavirus betamaculaflavicannae,Present (Unknown Distribution),1.0,3.0,3.0,,1.0,3.0,3.0,Pest spreads to maximum extent,Badnavirus betamaculaflavicannae,No,No
Virus or Viroid,Bean golden mosaic virus,Absent,3.0,3.0,18.0,Regulated quarantine pest under the category of begomoviruses,2.0,3.0,12.0,Pest is introduced,Bean golden,Yes,No
Virus or Viroid,Beet curly top virus,Absent,3.0,4.0,60.0,Regulated quarantine pest,2.0,4.0,40.0,Pest is introduced,Beet curly,Yes,No
Virus or Viroid,Beet leaf curl virus,Absent,0.0,0.0,,,0.0,0.0,,Pest is introduced,Beet leaf,No,No
Virus or Viroid,Beet necrotic yellow vein benyvirus,Present (Limited),5.0,3.0,75.0,Regulated protected zone quarantine pest (Northern Ireland),2.0,3.0,30.0,Pest spreads to maximum extent,Beet necrotic,No,No
Virus or Viroid,Black raspberry necrosis virus,Present (Widespread),,,,,,,,,Black raspberry,No,No
Virus or Viroid,Blackcurrant reversion virus ,Present (Widespread),,,,,,,,,Blackcurrant reversion,No,No
Virus or Viroid,Blackcurrant yellows agent and Aucuba mosaic agent; combined,Unknown,,,,Regulated non quarantine pest (Northern Ireland),,,,,Blackcurrant yellows,No,No
Virus or Viroid,Blueberry leaf mottle virus,Absent,3.0,4.0,36.0,Regulated quarantine pest,2.0,4.0,24.0,Pest is introduced,Blueberry leaf,Yes,No
Virus or Viroid,Blueberry mosaic associated virus,Absent,3.0,2.0,18.0,Regulated non quarantine pest,3.0,2.0,18.0,Pest is introduced with vector or finds vector,Blueberry mosaic,No,No
Virus or Viroid,Blueberry red ringspot virus,Absent,3.0,2.0,18.0,,3.0,2.0,18.0,Pest is introduced,Blueberry red,No,No
Virus or Viroid,Blueberry scorch virus,Absent,3.0,3.0,27.0,Regulated quarantine pest (Great Britain) Northern Ireland: Regulated non quarantine pest,3.0,3.0,27.0,Pest is introduced,Blueberry scorch,Yes,No
Virus or Viroid,Blueberry shock virus,Absent,3.0,3.0,27.0,BlShV is currently listed in GB in Annex 4 Part I as an RNQP on Vaccinium with 0 % tolerance in The Plant Health (Phytosanitary Conditions) (Amendment) (EU Exit) Regulations 2020. Similar requirements apply to Northern Ireland.      Mitigations onSpecial requirements for plants for planting of Vaccinium exist in The Plant Health (Phytosanitary Conditions) (Amendment) (EU Exit) Regulations 2020 for ?Candidatus Phytoplasma solani? (which is present in Europe); Grapholita packardi (Lepidoptera) (present in parts of Canada; USA and Mexico); and Diaporthe vaccinii (Fungi) (present in parts of Canada and USA).  ,3.0,3.0,27.0,Pest is introduced,Blueberry shock,No,No
Virus or Viroid,Blueberry shoestring sobemovirus,Absent,4.0,4.0,48.0,Regulated quarantine pest (Great Britain). Northern Ireland: Regulated non quarantine pest,4.0,4.0,48.0,Pest is introduced with vector or finds vector,Blueberry shoestring,Yes,No
Fungus,Boeremia linicola,Present (Unknown Distribution),,,,,,,,,Boeremia linicola,No,No
Fungus,Botryosphaeria kuwatsukai,Absent,3.0,3.0,36.0,Regulated quarantine pest,1.0,3.0,12.0,Pest is introduced,Botryosphaeria kuwatsukai,Yes,No
Fungus,Botryosphaeria laricina,Absent,3.0,3.0,45.0,Regulated quarantine pest,2.0,3.0,30.0,Pest is introduced,Botryosphaeria laricina,Yes,No
Fungus,Botrytis cinerea,Present (Widespread),,,,,,,,,Botrytis cinerea,No,No
